UniversityName,Website,State,CostOnCampusOutOfState,CostOnCampusInState,CostOffCampusOutOfState,CostOffCampusInState,PercentAdmitted,UndergradEnrollment,NumAssociate,NumBachelor,SATReadWrite,SATMath,ACTComposite,GrandTotalUndergrad,ProgramEducation,ProgramEngineering,ProgramScience,ProgramMath,ProgramPhysicalScience,ProgramBusiness
Alabama College of Osteopathic Medicine,https://www.acom.edu,AL,,,,,,0,0,0,,,,,,,,,,
Alabama School of Nail Technology & Cosmetology,www.alabamaschoolofnailtechnology.com,AL,,,,,,25,0,,,,,44,,,,,,
Alabama Southern Community College,,AL,,,,,,,,,,,,,,,,,,
Alabama State College of Barber Styling,www.ascbs.edu,AL,,,,,,15,0,,,,,22,,,,,,
Alabama State University,www.alasu.edu,AL,30438,22110,25224,16896,98,3903,0,650,440,420,16,4732,546,46,424,44,79,478
Alamance Community College,www.alamancecc.edu,NC,,,22543,17551,,4248,641,,,,,5651,,,,,,
Alamo City Barber College,www.alamocitybarbercollege.com,TX,,,,,,157,0,,,,,281,,,,,,
Alamo Community College District Central Office,alamo.edu/district/,TX,,,,,,,,,,,,,,,,,,
Alaska Bible College,www.akbible.edu/,AK,19980,19980,14280,14280,,45,1,7,,,,44,,,,,,
Alaska Career College,www.alaskacareercollege.edu,AK,,,,,,415,38,,,,,586,,,,,,
Alaska Christian College,www.alaskacc.edu,AK,21594,21594,10594,10594,,81,8,,,,,99,,,,,,
Alaska Pacific University,www.alaskapacific.edu,AK,34600,34600,26370,26370,84,301,2,40,,,,340,,,7,,1,75
Albany BOCES-Adult Practical Nursing Program,https://www.capitalregionboces.org/adult-education/classes-programs/,NY,,,,,,170,0,,,,,176,,,,,,
Albany College of Pharmacy and Health Sciences,www.acphs.edu,NY,49585,49585,40365,40365,72,859,0,49,550,580,24,916,,,35,,,
Albany Law School,www.albanylaw.edu,NY,,,,,,0,0,0,,,,,,,,,,
Albany Medical College,www.amc.edu,NY,,,,,,0,0,0,,,,,,,,,,
Albany State University,https://www.asurams.edu/,GA,29594,19133,21636,11175,90,6001,645,475,380,370,15,9549,805,,209,21,45,487
